"climate_scenario_num","mgmt_scenario_grp","mgmt_scenario_opt","scenario_name","scenario_abbrev","scenario_descriptor","climate_esm","climate_esm_scenario","climate_desc"
2,6,"2","2_62","BC38-CR","Biochar 38 Mgha, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,6,"3","2_63","BC57-CR","Biochar 57 Mgha, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,6,"4","2_64","BC76-CR","Biochar 76 Mgha, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,6,"5","2_65","BC96-CR","Biochar 96 Mgha, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
3,1,"","3_1","CR","Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,2,"","3_2","NT-CR","No Till, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,3,"","3_3","CC-CR","Cover Crop, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,4,"1","3_41","RF05-CR","Redu Fert 5%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,4,"2","3_42","RF15-CR","Redu Fert 15%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,4,"3","3_43","RF25-CR","Redu Fert 25%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,4,"4","3_44","RF35-CR","Redu Fert 35%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,5,"1","3_51","RR50-CR","Rmv Resid 50%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,5,"2","3_52","RR25-CR","Rmv Resid 25%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,5,"3","3_53","RR00-CR","Rmv Resid 0%, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,6,"1","3_61","BC19-CR","Biochar 19 Mgha, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,6,"2","3_62","BC38-CR","Biochar 38 Mgha, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,6,"3","3_63","BC57-CR","Biochar 57 Mgha, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,6,"4","3_64","BC76-CR","Biochar 76 Mgha, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
3,6,"5","3_65","BC96-CR","Biochar 96 Mgha, Crop Rotation","GFDL_ESM4","SSP5-8.5","GFDL_High"
4,1,"","4_1","CR","Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,2,"","4_2","NT-CR","No Till, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,3,"","4_3","CC-CR","Cover Crop, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,4,"1","4_41","RF05-CR","Redu Fert 5%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,4,"2","4_42","RF15-CR","Redu Fert 15%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,4,"3","4_43","RF25-CR","Redu Fert 25%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,4,"4","4_44","RF35-CR","Redu Fert 35%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,5,"1","4_51","RR50-CR","Rmv Resid 50%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,5,"2","4_52","RR25-CR","Rmv Resid 25%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,5,"3","4_53","RR00-CR","Rmv Resid 0%, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,6,"1","4_61","BC19-CR","Biochar 19 Mgha, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,6,"2","4_62","BC38-CR","Biochar 38 Mgha, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,6,"3","4_63","BC57-CR","Biochar 57 Mgha, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,6,"4","4_64","BC76-CR","Biochar 76 Mgha, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
4,6,"5","4_65","BC96-CR","Biochar 96 Mgha, Crop Rotation","UKESM1-0-LL","SSP1-2.6","UKESM_Low"
5,1,"","5_1","CR","Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,2,"","5_2","NT-CR","No Till, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,3,"","5_3","CC-CR","Cover Crop, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,4,"1","5_41","RF05-CR","Redu Fert 5%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,4,"2","5_42","RF15-CR","Redu Fert 15%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,4,"3","5_43","RF25-CR","Redu Fert 25%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,4,"4","5_44","RF35-CR","Redu Fert 35%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,5,"1","5_51","RR50-CR","Rmv Resid 50%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,5,"2","5_52","RR25-CR","Rmv Resid 25%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,5,"3","5_53","RR00-CR","Rmv Resid 0%, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,6,"1","5_61","BC19-CR","Biochar 19 Mgha, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,6,"2","5_62","BC38-CR","Biochar 38 Mgha, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,6,"3","5_63","BC57-CR","Biochar 57 Mgha, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,6,"4","5_64","BC76-CR","Biochar 76 Mgha, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
5,6,"5","5_65","BC96-CR","Biochar 96 Mgha, Crop Rotation","UKESM1-0-LL","SSP5-8.5","UKESM_High"
