"mean_CO2e_N2O","mean_CO2e_CH4","mean_CO2e_SOC","mean_GWP","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
17.25554,-0.34512,-6.52217,10.38824,"RR00-CR","KBS",5,"UKESM_High"
16.69202,NA,-6.23333,10.45868,"BC19-CR","KBS",5,"UKESM_High"
16.18113,NA,-3.3,12.88113,"BC38-CR","KBS",5,"UKESM_High"
15.7315,NA,0.36667,16.09817,"BC57-CR","KBS",5,"UKESM_High"
15.35873,NA,2.93333,18.29207,"BC76-CR","KBS",5,"UKESM_High"
15.02793,NA,5.13333,20.16127,"BC96-CR","KBS",5,"UKESM_High"
6.34773,-0.60622,-1.92368,3.81783,"CC-CR","LRF",1,"Baseline"
5.7493,-0.58062,2.03784,7.20652,"CN","LRF",1,"Baseline"
5.8319,-0.57485,-3.85766,1.39938,"CC-NT-CR","LRF",1,"Baseline"
6.16347,-0.57319,-1.10058,4.4897,"RF05-CR","LRF",1,"Baseline"
5.89693,-0.57549,-0.36821,4.95323,"RF15-CR","LRF",1,"Baseline"
5.63537,-0.57788,0.37444,5.43193,"RF25-CR","LRF",1,"Baseline"
5.37878,-0.58035,1.0445,5.84293,"RF35-CR","LRF",1,"Baseline"
4.92667,-0.6011,-0.44896,3.87661,"RR50-CR","LRF",1,"Baseline"
5.47636,-0.59431,-1.15138,3.73067,"RR25-CR","LRF",1,"Baseline"
6.29002,-0.57208,-1.32142,4.39651,"RR00-CR","LRF",1,"Baseline"
4.6034,-0.58855,-1.97154,2.04331,"RR50-NT-CR","LRF",1,"Baseline"
5.2465,-0.57405,-3.21197,1.46048,"RR25-NT-CR","LRF",1,"Baseline"
6.02141,-0.55853,-4.34004,1.12284,"RR00-NT-CR","LRF",1,"Baseline"
5.65204,NA,2.93333,8.58537,"BC19-CR","LRF",1,"Baseline"
5.59972,NA,5.86667,11.46639,"BC38-CR","LRF",1,"Baseline"
5.48893,NA,8.43333,13.92226,"BC57-CR","LRF",1,"Baseline"
5.383,NA,10.63333,16.01634,"BC76-CR","LRF",1,"Baseline"
5.29966,NA,14.3,19.59966,"BC96-CR","LRF",1,"Baseline"
5.96293,-0.58173,-1.93687,3.44432,"CC-CR","LRF",2,"GFDL_Low"
5.58781,-0.5584,2.39214,7.42154,"CN","LRF",2,"GFDL_Low"
5.5531,-0.5514,-3.85745,1.14425,"CC-NT-CR","LRF",2,"GFDL_Low"
6.00252,-0.55021,-0.33956,5.11275,"RF05-CR","LRF",2,"GFDL_Low"
5.75634,-0.55263,0.39197,5.59568,"RF15-CR","LRF",2,"GFDL_Low"
5.52161,-0.55538,1.23472,6.20095,"RF25-CR","LRF",2,"GFDL_Low"
5.27511,-0.55812,2.00345,6.72043,"RF35-CR","LRF",2,"GFDL_Low"
4.96248,-0.57822,0.53585,4.92011,"RR50-CR","LRF",2,"GFDL_Low"
5.41539,-0.57161,-0.40845,4.43533,"RR25-CR","LRF",2,"GFDL_Low"
6.12763,-0.54896,-0.74221,4.83647,"RR00-CR","LRF",2,"GFDL_Low"
4.57678,-0.56654,-1.33892,2.67133,"RR50-NT-CR","LRF",2,"GFDL_Low"
5.03815,-0.55115,-2.47088,2.01612,"RR25-NT-CR","LRF",2,"GFDL_Low"
5.79135,-0.53452,-3.63045,1.62638,"RR00-NT-CR","LRF",2,"GFDL_Low"
5.38844,NA,1.83333,7.22177,"BC19-CR","LRF",2,"GFDL_Low"
5.3739,NA,4.4,9.7739,"BC38-CR","LRF",2,"GFDL_Low"
5.31327,NA,6.6,11.91327,"BC57-CR","LRF",2,"GFDL_Low"
5.27592,NA,8.8,14.07592,"BC76-CR","LRF",2,"GFDL_Low"
5.24742,NA,12.1,17.34742,"BC96-CR","LRF",2,"GFDL_Low"
5.76336,-0.59594,-3.7188,1.44862,"CC-CR","LRF",3,"GFDL_High"
5.3185,-0.56661,2.53716,7.28904,"CN","LRF",3,"GFDL_High"
5.26564,-0.56326,-3.63949,1.06289,"CC-NT-CR","LRF",3,"GFDL_High"
5.87155,-0.55844,-0.0433,5.26981,"RF05-CR","LRF",3,"GFDL_High"
5.6051,-0.56103,0.65184,5.69592,"RF15-CR","LRF",3,"GFDL_High"
5.39024,-0.56367,1.26626,6.09283,"RF25-CR","LRF",3,"GFDL_High"
5.15412,-0.56647,1.88706,6.4747,"RF35-CR","LRF",3,"GFDL_High"
4.79155,-0.58995,-0.27302,3.92857,"RR50-CR","LRF",3,"GFDL_High"
5.29017,-0.58272,-0.56218,4.14526,"RR25-CR","LRF",3,"GFDL_High"
5.9997,-0.55719,-0.33832,5.10419,"RR00-CR","LRF",3,"GFDL_High"
4.39899,-0.5786,-1.32777,2.49261,"RR50-NT-CR","LRF",3,"GFDL_High"
4.88744,-0.56202,-2.23752,2.08791,"RR25-NT-CR","LRF",3,"GFDL_High"
5.63644,-0.5451,-3.1,1.99134,"RR00-NT-CR","LRF",3,"GFDL_High"
4.90557,NA,1.46667,6.37223,"BC19-CR","LRF",3,"GFDL_High"
4.8568,NA,4.4,9.2568,"BC38-CR","LRF",3,"GFDL_High"
4.81719,NA,6.23333,11.05052,"BC57-CR","LRF",3,"GFDL_High"
4.77297,NA,8.43333,13.20631,"BC76-CR","LRF",3,"GFDL_High"
4.77108,NA,11,15.77108,"BC96-CR","LRF",3,"GFDL_High"
6.11268,-0.59477,-2.24623,3.27169,"CC-CR","LRF",4,"UKESM_Low"
5.63442,-0.57099,2.00505,7.06848,"CN","LRF",4,"UKESM_Low"
5.67368,-0.56716,-4.21019,0.89633,"CC-NT-CR","LRF",4,"UKESM_Low"
5.73342,-0.56344,-1.3543,3.81567,"RF05-CR","LRF",4,"UKESM_Low"
5.49369,-0.566,-0.52516,4.40253,"RF15-CR","LRF",4,"UKESM_Low"
5.25901,-0.56859,0.2325,4.92292,"RF25-CR","LRF",4,"UKESM_Low"
5.01114,-0.57134,1.01366,5.45346,"RF35-CR","LRF",4,"UKESM_Low"
4.70385,-0.5911,-0.10746,4.00529,"RR50-CR","LRF",4,"UKESM_Low"
5.16239,-0.58462,-1.18644,3.39133,"RR25-CR","LRF",4,"UKESM_Low"
5.853,-0.56226,-1.57847,3.71227,"RR00-CR","LRF",4,"UKESM_Low"
4.32428,-0.58038,-1.97772,1.76618,"RR50-NT-CR","LRF",4,"UKESM_Low"
4.7704,-0.56515,-3.02468,1.18057,"RR25-NT-CR","LRF",4,"UKESM_Low"
5.4572,-0.54796,-4.19643,0.71282,"RR00-NT-CR","LRF",4,"UKESM_Low"
5.58452,NA,1.83333,7.41785,"BC19-CR","LRF",4,"UKESM_Low"
5.52615,NA,4.4,9.92615,"BC38-CR","LRF",4,"UKESM_Low"
5.4974,NA,7.33333,12.83073,"BC57-CR","LRF",4,"UKESM_Low"
5.52509,NA,9.9,15.42509,"BC76-CR","LRF",4,"UKESM_Low"
5.49365,NA,12.83333,18.32698,"BC96-CR","LRF",4,"UKESM_Low"
6.12106,-0.60131,-1.7984,3.72135,"CC-CR","LRF",5,"UKESM_High"
5.80654,-0.5764,3.0892,8.31934,"CN","LRF",5,"UKESM_High"
5.68166,-0.57249,-2.51338,2.59579,"CC-NT-CR","LRF",5,"UKESM_High"
6.35381,-0.56755,0.35921,6.14548,"RF05-CR","LRF",5,"UKESM_High"
6.10286,-0.57031,0.96739,6.49993,"RF15-CR","LRF",5,"UKESM_High"
5.84614,-0.57317,1.76955,7.04252,"RF25-CR","LRF",5,"UKESM_High"
5.59352,-0.57612,2.57975,7.59715,"RF35-CR","LRF",5,"UKESM_High"
5.11722,-0.59706,0.0113,4.53145,"RR50-CR","LRF",5,"UKESM_High"
5.66155,-0.59033,-0.24248,4.82874,"RR25-CR","LRF",5,"UKESM_High"
6.48565,-0.56619,0.06076,5.98022,"RR00-CR","LRF",5,"UKESM_High"
4.72209,-0.5866,-1.22596,2.90954,"RR50-NT-CR","LRF",5,"UKESM_High"
5.24091,-0.57084,-1.9835,2.68657,"RR25-NT-CR","LRF",5,"UKESM_High"
6.07035,-0.55308,-2.58037,2.93691,"RR00-NT-CR","LRF",5,"UKESM_High"
5.52184,NA,3.3,8.82184,"BC19-CR","LRF",5,"UKESM_High"
5.47334,NA,5.5,10.97334,"BC38-CR","LRF",5,"UKESM_High"
5.38922,NA,8.06667,13.45589,"BC57-CR","LRF",5,"UKESM_High"
5.31377,NA,10.63333,15.9471,"BC76-CR","LRF",5,"UKESM_High"
5.37415,NA,13.93333,19.30748,"BC96-CR","LRF",5,"UKESM_High"
