"site_name","climate_desc","Climate_Scenario.y","scenario_abbrev.y","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_gwp"
"LRF","UKESM_High",5,"RR25-CR",0.8241,0.0241400000000001,0.30324,1.15148
"LRF","UKESM_High",5,"RR00-CR",0,0,0,0
"LRF","UKESM_High",5,"RR50-NT-CR",1.76356,0.02041,1.28672,3.07068
"LRF","UKESM_High",5,"RR25-NT-CR",1.24474,0.00465000000000004,2.04426,3.29365
"LRF","UKESM_High",5,"RR00-NT-CR",0.415299999999999,-0.01311,2.64113,3.04331
"LRF","UKESM_High",5,"BC19-CR",0.96381,NA,-3.23924,-2.84162
"LRF","UKESM_High",5,"BC38-CR",1.01231,NA,-5.43924,-4.99312
"LRF","UKESM_High",5,"BC57-CR",1.09643,NA,-8.00591,-7.47567
"LRF","UKESM_High",5,"BC76-CR",1.17188,NA,-10.57257,-9.96688
"LRF","UKESM_High",5,"BC96-CR",1.1115,NA,-13.87257,-13.32726
