"scenario_descriptor","climate_scenario_num","mgmt_scenario_grp","mgmt_scenario_opt","scenario_name","scenario_abbrev","climate_esm","climate_esm_scenario"
"Cover Crop, Crop Rotation",2,3,"","2_3","CC-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 5%, Crop Rotation",2,4,"1","2_41","RF05-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 15%, Crop Rotation",2,4,"2","2_42","RF15-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 25%, Crop Rotation",2,4,"3","2_43","RF25-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 35%, Crop Rotation",2,4,"4","2_44","RF35-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 5%, Crop Rotation",2,4,"1","2_45","RF05-NT-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 15%, No Till, Crop Rotation",2,4,"2","2_46","RF15-NT-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 25%, No Till, Crop Rotation",2,4,"3","2_47","RF25-NT-CR","GFDL_ESM4","SSP1-2.6"
"Redu Fert 35%, No Till, Crop Rotation",2,4,"4","2_48","RF35-NT-CR","GFDL_ESM4","SSP1-2.6"
"Rmv Resid 50%, Crop Rotation",2,5,"1","2_51","RR50-CR","GFDL_ESM4","SSP1-2.6"
"Rmv Resid 25%, Crop Rotation",2,5,"2","2_52","RR25-CR","GFDL_ESM4","SSP1-2.6"
"Rmv Resid 0%, Crop Rotation",2,5,"3","2_53","RR00-CR","GFDL_ESM4","SSP1-2.6"
"Rmv Resid 50%, No Till, Crop Rotation",2,5,"1","2_54","RR50-NT-CR","GFDL_ESM4","SSP1-2.6"
"Rmv Resid 25%, No Till, Crop Rotation",2,5,"2","2_55","RR25-NT-CR","GFDL_ESM4","SSP1-2.6"
"Rmv Resid 0%, No Till, Crop Rotation",2,5,"3","2_56","RR00-NT-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 19 Mgha, Crop Rotation",2,6,"1","2_61","BC19-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 38 Mgha, Crop Rotation",2,6,"2","2_62","BC38-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 57 Mgha, Crop Rotation",2,6,"3","2_63","BC57-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 76 Mgha, Crop Rotation",2,6,"4","2_64","BC76-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 96 Mgha, Crop Rotation",2,6,"5","2_65","BC96-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 19 Mgha, No Till, Crop Rotation",2,6,"1","2_66","BC19-NT-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 38 Mgha, No Till, Crop Rotation",2,6,"2","2_67","BC38-NT-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 57 Mgha, No Till, Crop Rotation",2,6,"3","2_68","BC57-NT-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 76 Mgha, No Till, Crop Rotation",2,6,"4","2_69","BC76-NT-CR","GFDL_ESM4","SSP1-2.6"
"Biochar 96 Mgha, No Till, Crop Rotation",2,6,"5","2_610","BC96-NT-CR","GFDL_ESM4","SSP1-2.6"
"Contintuous Crop",2,7,"","2_7","CN","GFDL_ESM4","SSP1-2.6"
"No Till, Cover Crop, Crop Rotation",2,8,"","2_8","NT-CC-CR","GFDL_ESM4","SSP1-2.6"
"Crop Rotation",3,1,"","3_1","CR","GFDL_ESM4","SSP5-8.5"
"No Till, Crop Rotation",3,2,"","3_2","NT-CR","GFDL_ESM4","SSP5-8.5"
"Cover Crop, Crop Rotation",3,3,"","3_3","CC-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 5%, Crop Rotation",3,4,"1","3_41","RF05-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 15%, Crop Rotation",3,4,"2","3_42","RF15-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 25%, Crop Rotation",3,4,"3","3_43","RF25-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 35%, Crop Rotation",3,4,"4","3_44","RF35-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 5%, Crop Rotation",3,4,"1","3_45","RF05-NT-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 15%, No Till, Crop Rotation",3,4,"2","3_46","RF15-NT-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 25%, No Till, Crop Rotation",3,4,"3","3_47","RF25-NT-CR","GFDL_ESM4","SSP5-8.5"
"Redu Fert 35%, No Till, Crop Rotation",3,4,"4","3_48","RF35-NT-CR","GFDL_ESM4","SSP5-8.5"
"Rmv Resid 50%, Crop Rotation",3,5,"1","3_51","RR50-CR","GFDL_ESM4","SSP5-8.5"
"Rmv Resid 25%, Crop Rotation",3,5,"2","3_52","RR25-CR","GFDL_ESM4","SSP5-8.5"
"Rmv Resid 0%, Crop Rotation",3,5,"3","3_53","RR00-CR","GFDL_ESM4","SSP5-8.5"
"Rmv Resid 50%, No Till, Crop Rotation",3,5,"1","3_54","RR50-NT-CR","GFDL_ESM4","SSP5-8.5"
"Rmv Resid 25%, No Till, Crop Rotation",3,5,"2","3_55","RR25-NT-CR","GFDL_ESM4","SSP5-8.5"
"Rmv Resid 0%, No Till, Crop Rotation",3,5,"3","3_56","RR00-NT-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 19 Mgha, Crop Rotation",3,6,"1","3_61","BC19-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 38 Mgha, Crop Rotation",3,6,"2","3_62","BC38-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 57 Mgha, Crop Rotation",3,6,"3","3_63","BC57-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 76 Mgha, Crop Rotation",3,6,"4","3_64","BC76-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 96 Mgha, Crop Rotation",3,6,"5","3_65","BC96-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 19 Mgha, No Till, Crop Rotation",3,6,"1","3_66","BC19-NT-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 38 Mgha, No Till, Crop Rotation",3,6,"2","3_67","BC38-NT-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 57 Mgha, No Till, Crop Rotation",3,6,"3","3_68","BC57-NT-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 76 Mgha, No Till, Crop Rotation",3,6,"4","3_69","BC76-NT-CR","GFDL_ESM4","SSP5-8.5"
"Biochar 96 Mgha, No Till, Crop Rotation",3,6,"5","3_610","BC96-NT-CR","GFDL_ESM4","SSP5-8.5"
"Contintuous Crop",3,7,"","3_7","CN","GFDL_ESM4","SSP5-8.5"
"No Till, Cover Crop, Crop Rotation",3,8,"","3_8","NT-CC-CR","GFDL_ESM4","SSP5-8.5"
"Crop Rotation",4,1,"","4_1","CR","UKESM1-0-LL","SSP1-2.6"
"No Till, Crop Rotation",4,2,"","4_2","NT-CR","UKESM1-0-LL","SSP1-2.6"
"Cover Crop, Crop Rotation",4,3,"","4_3","CC-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 5%, Crop Rotation",4,4,"1","4_41","RF05-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 15%, Crop Rotation",4,4,"2","4_42","RF15-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 25%, Crop Rotation",4,4,"3","4_43","RF25-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 35%, Crop Rotation",4,4,"4","4_44","RF35-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 5%, Crop Rotation",4,4,"1","4_45","RF05-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 15%, No Till, Crop Rotation",4,4,"2","4_46","RF15-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 25%, No Till, Crop Rotation",4,4,"3","4_47","RF25-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Redu Fert 35%, No Till, Crop Rotation",4,4,"4","4_48","RF35-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Rmv Resid 50%, Crop Rotation",4,5,"1","4_51","RR50-CR","UKESM1-0-LL","SSP1-2.6"
"Rmv Resid 25%, Crop Rotation",4,5,"2","4_52","RR25-CR","UKESM1-0-LL","SSP1-2.6"
"Rmv Resid 0%, Crop Rotation",4,5,"3","4_53","RR00-CR","UKESM1-0-LL","SSP1-2.6"
"Rmv Resid 50%, No Till, Crop Rotation",4,5,"1","4_54","RR50-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Rmv Resid 25%, No Till, Crop Rotation",4,5,"2","4_55","RR25-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Rmv Resid 0%, No Till, Crop Rotation",4,5,"3","4_56","RR00-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 19 Mgha, Crop Rotation",4,6,"1","4_61","BC19-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 38 Mgha, Crop Rotation",4,6,"2","4_62","BC38-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 57 Mgha, Crop Rotation",4,6,"3","4_63","BC57-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 76 Mgha, Crop Rotation",4,6,"4","4_64","BC76-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 96 Mgha, Crop Rotation",4,6,"5","4_65","BC96-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 19 Mgha, No Till, Crop Rotation",4,6,"1","4_66","BC19-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 38 Mgha, No Till, Crop Rotation",4,6,"2","4_67","BC38-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 57 Mgha, No Till, Crop Rotation",4,6,"3","4_68","BC57-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 76 Mgha, No Till, Crop Rotation",4,6,"4","4_69","BC76-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Biochar 96 Mgha, No Till, Crop Rotation",4,6,"5","4_610","BC96-NT-CR","UKESM1-0-LL","SSP1-2.6"
"Contintuous Crop",4,7,"","4_7","CN","UKESM1-0-LL","SSP1-2.6"
"No Till, Cover Crop, Crop Rotation",4,8,"","4_8","NT-CC-CR","UKESM1-0-LL","SSP1-2.6"
"Crop Rotation",5,1,"","5_1","CR","UKESM1-0-LL","SSP5-8.5"
"No Till, Crop Rotation",5,2,"","5_2","NT-CR","UKESM1-0-LL","SSP5-8.5"
"Cover Crop, Crop Rotation",5,3,"","5_3","CC-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 5%, Crop Rotation",5,4,"1","5_41","RF05-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 15%, Crop Rotation",5,4,"2","5_42","RF15-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 25%, Crop Rotation",5,4,"3","5_43","RF25-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 35%, Crop Rotation",5,4,"4","5_44","RF35-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 5%, Crop Rotation",5,4,"1","5_45","RF05-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 15%, No Till, Crop Rotation",5,4,"2","5_46","RF15-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 25%, No Till, Crop Rotation",5,4,"3","5_47","RF25-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Redu Fert 35%, No Till, Crop Rotation",5,4,"4","5_48","RF35-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Rmv Resid 50%, Crop Rotation",5,5,"1","5_51","RR50-CR","UKESM1-0-LL","SSP5-8.5"
"Rmv Resid 25%, Crop Rotation",5,5,"2","5_52","RR25-CR","UKESM1-0-LL","SSP5-8.5"
"Rmv Resid 0%, Crop Rotation",5,5,"3","5_53","RR00-CR","UKESM1-0-LL","SSP5-8.5"
"Rmv Resid 50%, No Till, Crop Rotation",5,5,"1","5_54","RR50-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Rmv Resid 25%, No Till, Crop Rotation",5,5,"2","5_55","RR25-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Rmv Resid 0%, No Till, Crop Rotation",5,5,"3","5_56","RR00-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 19 Mgha, Crop Rotation",5,6,"1","5_61","BC19-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 38 Mgha, Crop Rotation",5,6,"2","5_62","BC38-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 57 Mgha, Crop Rotation",5,6,"3","5_63","BC57-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 76 Mgha, Crop Rotation",5,6,"4","5_64","BC76-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 96 Mgha, Crop Rotation",5,6,"5","5_65","BC96-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 19 Mgha, No Till, Crop Rotation",5,6,"1","5_66","BC19-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 38 Mgha, No Till, Crop Rotation",5,6,"2","5_67","BC38-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 57 Mgha, No Till, Crop Rotation",5,6,"3","5_68","BC57-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 76 Mgha, No Till, Crop Rotation",5,6,"4","5_69","BC76-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Biochar 96 Mgha, No Till, Crop Rotation",5,6,"5","5_610","BC96-NT-CR","UKESM1-0-LL","SSP5-8.5"
"Contintuous Crop",5,7,"","5_7","CN","UKESM1-0-LL","SSP5-8.5"
"No Till, Cover Crop, Crop Rotation",5,8,"","5_8","NT-CC-CR","UKESM1-0-LL","SSP5-8.5"
